,km,year,test_cost,price,num_of_hand,Engine_Size,electric,disel,gasoline,automatic,manual,private,leasing,rent,else,Manufacturer
6256,144000,2016,2397,96903,2,3497.0,0,0,1,1,0,1,0,0,0,29
6257,28219,2020,1529,79900,2,1496.0,0,0,1,1,0,1,0,0,0,17
6258,55000,2020,1102,75900,1,1248.0,0,0,1,1,0,1,0,0,0,35
6259,49000,2021,2417,179900,1,1999.0,0,0,1,1,0,1,0,0,0,13
6260,180000,2016,2397,110000,2,1995.0,0,1,0,1,0,1,0,0,0,6
6261,130000,2019,1604,79000,1,1798.0,0,0,1,1,0,0,1,0,0,21
6262,48000,2019,1604,99000,2,1998.0,0,0,1,1,0,1,0,0,0,17
6263,177000,2020,1102,44900,1,898.0,0,0,1,1,0,1,0,0,0,8
6264,151000,2015,1424,65900,1,1395.0,0,0,1,1,0,1,0,0,0,27
6266,94000,2016,1962,126999,1,2359.0,0,0,1,1,0,1,0,0,0,13
6267,85000,2020,2563,194000,1,2268.0,0,1,0,1,0,1,0,0,0,19
6268,113000,2018,2019,110000,1,1968.0,0,1,0,1,0,1,0,0,0,27
6269,150000,2019,2019,154000,1,1498.0,0,0,1,1,0,1,0,0,0,27
6270,24183,2021,3366,211363,1,2359.0,0,0,1,1,0,1,0,0,0,13
6271,152000,2019,2019,115000,1,1998.0,0,0,1,1,0,0,1,0,0,19
6272,178000,2014,1424,54999,2,1197.0,0,0,1,1,0,1,0,0,0,27
6273,66000,2020,1353,99900,1,999.0,0,0,1,1,0,1,0,0,0,25
6274,127000,2021,4731,239900,1,3604.0,0,0,1,1,0,1,0,0,0,7
6275,65000,2020,1102,75000,2,1248.0,0,0,1,1,0,1,0,0,0,35
6276,8000,2022,3366,320000,1,1995.0,0,0,1,1,0,1,0,0,0,7
6277,65000,2020,2417,125000,1,1499.0,0,0,1,1,0,1,0,0,0,19
6278,79000,2020,2130,110000,1,1499.0,0,1,0,0,1,0,1,0,0,26
6279,182000,2018,1835,115000,1,1197.0,0,0,1,1,0,1,0,0,0,21
6280,33000,2020,4731,264900,3,1991.0,1,0,1,1,0,1,0,0,0,20
6281,71000,2019,2019,185000,1,2494.0,0,0,1,1,0,1,0,0,0,12
6282,145000,2016,1424,59000,2,1591.0,0,0,1,1,0,1,0,0,0,13
6283,140000,2014,1424,39990,4,1591.0,0,0,1,1,0,1,0,0,0,35
6284,52000,2018,1604,100000,2,1998.0,0,0,1,1,0,1,0,0,0,17
6285,62000,2020,2417,159900,1,1984.0,0,0,1,1,0,0,1,0,0,27
6286,139634,2017,1102,45000,1,1399.0,0,0,1,1,0,1,0,0,0,37
6288,80000,2018,1604,99000,2,999.0,0,0,1,1,0,1,0,0,0,27
6289,45000,2019,1604,125000,1,1498.0,0,0,1,1,0,1,0,0,0,25
6290,78000,2018,1102,45000,1,1199.0,0,0,1,1,0,1,0,0,0,31
6291,130000,2019,2019,140000,3,2498.0,0,0,1,1,0,0,1,0,0,23
